crn,consultant_name,email,phone,city,state,zipcode,schools_served,total_applications,latest_funding_year
16043627,"Kenseth Communications Consulting, Ltd",marian@kenseth.com,802-223-5674,Montpelier,VT,05602,16,588,2025
16043629,LJS & Associates,kevin@aonenetworks.com,734-469-4036,Livonia,MI,48154,12,85,2026
16043631,Mattison Enterprises,loy@surewest.net,916-849-0502,Orangevale,CA,95662,49,1353,2026
16043637,My E-Rate Guy LLC,drew@myerateguy.com,918-521-2030,Tulsa,OK,74106,13,5,2026
16043643,Nicely Done Consulting,stephanie@nicelydoneconsulting.com,623-780-5737,Glendale,AZ,85310,126,3690,2026
16043645,James Bennett DBA Olympic Peninsula Consultants,jbennett@olynet.com,360-640-0710,Clovis,CA,93619,41,453,2026
16043646,On-Tech Consulting Inc,info@on-tech.com,732-530-5435,Red Bank,NJ,07701,122,1159,2026
16043655,"Phoenix Educational, Inc.",jwykes@phoenixed.com,231-680-0068,Ludington,MI,49431,8,170,2026
16043662,School Helper LLC,linda.nodine@yahoo.com,864-583-2446,Spartanburg,SC,29304,1,4,2018
16043663,Service Associates Inc,ofrail@serviceassoc.com,828-337-4188,RURAL HALL,NC,27045,46,324,2026
16043665,Stodghill Group,salliek@stodghill.net,916-276-6863,Fair Oaks,CA,95628,10,163,2025
16043671,Tech Funds Inc,mdaniel1@cox.net,602-882-2459,Bakersfield,CA,93312,29,446,2026
16043676,Techplex,starrgarter@gmail.com,989-275-7798,Grandville,MI,49418,139,1814,2026
16043677,Telesolutions Consultants LLC,jerry@telesolutionsconsultants.com,630-351-6200,Bloomingdale,IL,60108,108,4356,2026
16043680,The KSL Group,dwatkin1@frontier.com,814-932-6888,Gibsonton,FL,33534,41,135,2026
16043681,The Miller Institute for Learning With Technology (dba Learningtech.org),erate@learningtech.org,650-598-0105,San Carlos,CA,94070,119,1748,2026
16043685,Tritt Schell Consulting Services,jtschell@comcast.net,717-574-4043,Mechanicsburg,PA,17050,24,45,2026
16043686,Universal Funding Consultants Inc,snutgrass@fundingtechnology.com,866-490-3688,Macon,GA,31201,34,371,2025
16043688,VST Services LP,RNeal@vstservices.com,682-237-7670,Trophy Club,TX,76262,165,3697,2026
16043864,"DEBRA M. KRIETE, ESQ.",dmkriete@comcast.net,717-232-0222,Mechanicsburg,PA,17050,43,948,2026
16048791,E-RATE ONLINE LLC,msagnella@erateportal.com,203-445-9577,Orange,CT,06477,433,10868,2026
16048893,"E-Rate 360 Solutions, LLC",ugarofano@erate360.com,888-535-7771,Parsippany,NJ,07054,202,4740,2026
16048902,"ERateProgram, LLC",clewis@erateprogram.com,314-282-3676,St. Louis,MO,63132,961,2168,2026
16048924,Epic Communications,office@epicinc.org,866-716-3336,Solon,OH,44139,189,1740,2026
16049012,Educate LLC,erate@educatellc.com,646-405-7382,New York,NY,10018,43,461,2026
16049014,Vitech Consulting Services,alanvis@outlook.com,410-310-4084,Denton,MD,21629,5,446,2025
16049024,E-Rate Consulting Specialists Inc.,tim@ecspecialists.net,281-232-0928,Richmond,TX,77469,73,1003,2026
16049032,Daniel Sichelski,isichelski@yahoo.com,708-430-4640,Burbank,IL,60459,1,5,2018
16049052,Smoky Hill Education Service Center,erate@smokyhill.org,785-825-9185,Salina,KS,67401,70,2620,2026
16049151,"ADS Advanced Data Services, Inc.",erate@adsadsi.com,281-465-8888,Mount Pleasant,TX,75455,57,1189,2025
16049460,Education TEAM Partners LLC,elka@edteam.com,480-966-2724,Tempe,AZ,85282,1,29,2022
16049497,BUSINESSMAP,jneal@business-map.org,614-774-7949,Cumming,GA,30041,102,1886,2026
16049508,MEMC Solutions,eddie@memcsolutions.com,661-816-9096,Palmdale,CA,93551,4,30,2022
16049542,Millennium Strategies LLC,jsmcguinness@millenniumstrategies.com,917-434-6035,Niskayuna,NY,12309,1,36,2025
16049548,Acklin & Associates,kelli@acklin.net,501-412-3534,Little Rock,AR,72212,7,45,2025
16049611,BTU Consultants,lori@btu-consultants.com,636-294-7117,O Fallon,MO,63366,143,2122,2026
16051885,"Zeller and Associates, LLC",gzeller@zellerandassociates.com,847-828-4606,Glenview,IL,60025,70,1688,2026
16052039,"E-Rate Strategies, LLC",jill@e-ratestrategies.com,603-659-5900,Suffield,CT,06078,49,549,2026
16052088,TECedge LLC,stephen.kelley@tecedge.net,617-276-6479,Cambridge,MA,02138,32,868,2026
16054660,Erate Management Group,cliff.joffrion@sbcglobal.net,713-385-3279,Houston,TX,77280,99,1800,2026
16054698,SMS E-Rate,,614-882-0596,Westerville,OH,43081,318,29,2026
16054699,New Hope Technology,jhughes@vistatm.com,919-593-2841,Atlantic Beach,NC,28512,257,106,2026
16054715,LBM Business Services,lbmbs.inc@gmail.com,310-902-5293,Las Vegas,NV,89134,1,30,2025
16054718,RTC/TRMG,markseltzer@trmgi.com,610-280-3810,Exton,PA,19341,20,533,2025
16054722,RMS Associates LLC,mstegner@phonerms.com,586-263-3960,Clinton Township,MI,48038,24,589,2026
16054730,R & R Consultants,dfagunduserate@gmail.com,781-929-7705,Hingham,MA,02043,13,26,2025
16054744,"Storm Consulting Group, LP",terri@storm-cg.com,205-267-9777,Bessemer,AL,35022,11,409,2026
16055051,"E-Rate Expertise, Inc.",claire@erateexpertise.com,253-320-0664,TACOMA,WA,98407,14,318,2025
16055380,Funding Consultants LLC,ranwez@fundingconsultants.org,770-547-4418,Rome,GA,30165,11,338,2026
16055924,Triple R Consultants,bob@triple-r.us,248-446-8125,South Lyon,MI,48178,157,2964,2026
16057463,GETFUNDED,john.egan@getfunded.net,480-473-5785,Scottsdale,AZ,85255,268,4791,2026
16060500,Federal Program Consulting Inc,jim@federalprogramconsulting.com,386-405-3979,New Smyrna Beach,FL,32169,70,173,2026
16060507,"EdTechnologyFunds, Inc.",bsutherland@edtechnologyfunds.com,626-296-6284,90230,CA,90230,110,1047,2026
16060517,E-Rate Consultants LLC,support@e-rateconsultants.com,800-870-2451,Pleasanton,CA,94588,2,18,2025
16060634,Allen & Allen Consulting LLC,karen@eratespecialists.com,404-312-8806,Gainesville,GA,30506,49,1142,2026
16060670,E-Rate Advantage,rjs@erateadvantage.com,908-303-9217,Annandale,NJ,08801,801,14046,2026
16060750,Ed Tech Consulting,todd.williams@ed-techconsulting.com,678-773-6921,Lake Spivey,GA,30236,17,448,2026
16060753,"Tech Ed Services, Inc",cindy@techedservicesinc.com,800-832-4411,Westlake Village,CA,91361,17,51,2025
16060891,E-Rate Central,info@e-ratecentral.com,516-801-7800,Westbury,NY,11590,1056,16292,2026
16060898,E-Rate Partners LLC,jessica.nilsen@eratepartners.com,315-254-2022,Cicero,NY,13039,158,3393,2026
16060902,E-Rate Services LLC,erate@erateservices.com,919-353-1723,Sanford,NC,27330,77,1446,2026
16061787,Allen J. Curtis,acurtis@eratenewengland.net,207-685-3257,Readfield,ME,04355,54,692,2026
16061788,Amanda Sale,amandasale@cox.net,225-505-8700,Gainesville,FL,32608,44,322,2026
16061978,ETECHCO INC,rickvansickle@gmail.com,719-216-2012,Santa Fe,NM,87501,147,2767,2026
16061983,TEXAS EDUCATIONAL CONSULTATIVE SERVICES TECS,esinclair@tecslink.com,512-739-4472,AUSTIN,TX,78760,15,209,2025
16061990,NEW ENGLAND SYSTEMS & SOFTWARE INC,info@nessnetworks.com,518-377-4057,LAKE GEORGE,NY,,2,23,2026
16061991,MONDAVI DESIGN,dclark@mondavi-design.com,585-594-5888,Mendon,NY,14506,187,3354,2025
16061993,EdOps,dan@ed-ops.com,202-352-7878,Washington,DC,20009,31,461,2026
16061996,AdvanEdge Solutions Inc. / Intelafunds,eratesupport@advanedgesolutions.com,412-668-0785,Canonsburg,PA,15317,123,3214,2026
16062002,Southeast Kansas Education Service Center,denise.grasso@greenbush.org,620-724-6281,Girard,KS,66743,76,2351,2026
16062012,JEG CONSULTING,jim@jegconsult.com,530-403-7387,OROVILLE,CA,95966,21,533,2026
16062017,"GRANT CONSULTING SERVICES, LLC",valerie@grantconsultingservices.com,760-237-8327,Vista,CA,92083,51,247,2026
16062020,COKER CONSULTING,cokermeg@gmail.com,518-265-9019,GLENS FALLS,NY,12801,1,16,2023
16062022,TELETECH ASSOCIATES INC,john@teletechassociates.com,516-868-5600,Rhinebeck,NY,12572,176,2424,2026
16062027,"Scaletta Consulting, LLC",lpscaletta@gmail.com,708-373-8914,Saint John,IN,46373,15,279,2025
16062029,NORTHEAST COLORADO BOCES,lthompson@neboces.org,970-521-2771,HAXTUN,CO,80731,11,122,2025
16062031,EDUCATIONAL SERVICE UNIT NO 11,erate@esu11.org,308-995-6585,HOLDREGE,NE,68949,14,1978,2026
16062044,OHIO E-RATE SERVICES,ohioerateservices@gmail.org,614-736-9687,Gahanna,OH,43230,40,478,2026
16062047,My Angel Grant LLC,MyAngelGrant@live.com,480-221-5726,Phoenix,AZ,85024,9,118,2023
16062048,ESC Region 12 E-Rate Consulting,thouseholder@esc12.net,254-297-2911,Waco,TX,76712,365,1952,2026
16062050,Telecomp Solutions,lleugers@telecompsolutions.com,231-778-0174,TRAVERSE CITY,MI,49685,61,585,2026
16062054,INTERMOUNTAIN ESD,erate@imesd.k12.or.us,541-966-3221,PENDLETON,OR,97801,106,2489,2026
16062109,International Computer Corporation,kpulliam@icc-psd.com,505-269-6463,Santa Fe,NM,87505,66,1508,2026
16062110,Jacobs E-Rate Consulting LLC,pamp157762@aol.com,515-975-0071,Scotch Grove,IA,52310,2,47,2026
16062111,Morrow & Morrow Inc,,706-636-4283,Ellijay,GA,30536,17,419,2026
16062128,E-Rate Consulting LLC,richard@erateconsulting.org,516-642-9286,Woodmere,NY,11598,165,2162,2026
16062141,GLENN  HERVIEUX,ghervieux@gmail.com,903-752-8616,Flint,TX,75762,20,2,2026
16062162,E-Rate Connection,richard.kevern@e-rateconnection.com,330-686-2061,Munroe Falls,OH,44262,87,1991,2026
16062164,Mark Guyer,guyermark@gmail.com,330-837-4138,Massillon,OH,44646,1,9,2020
16062187,Richard Bandlow,bandlowr@evart.k12.mi.us,231-734-3173,Evart,MI,49631,1,22,2026
16062188,WGS Consulting,wgs003@gmail.com,614-989-5399,New Albany,OH,43054,3,76,2025
16062194,"Blue Maple Holdings, Inc",darsey@prof-sol.com,317-663-4766,Westfield,IN,46074,1,28,2024
16062211,Cathy Morton,cathycmorton@gmail.com,806-792-0540,Lubbock,TX,79413,94,2155,2026
16062215,Jack Sterling,jacks@nemont.net,406-259-5399,Billings,MT,59105,118,1178,2026
16062217,Janice Russell,jrussell@traceroad.net,662-256-6575,Greenwood Springs,MS,38848,4,76,2026
16062227,"Dakota Academic Consulting, Inc.",bonnie@dacinc.com,605-977-4648,Sioux Falls,SD,57101,239,2079,2026
16062228,John Hubley,Jhubley0032@msn.com,406-251-0032,Missoula,MT,59803,67,884,2025
16062262,Erate Pros,michaelslucas@yahoo.com,713-962-8107,Houston,TX,77280,61,1058,2026
16062265,E-Rate Professional$.com,ddietrich@e-rateprofessionals.com,314-378-1667,Ballwin,MO,63021,31,689,2026
16062270,Kraig-X-Skape Educational Consulting,bkraig@tds.net,360-358-8359,Shelton,WA,98584,12,92,2026
16062272,Swope Educational Consulting,swopels@charter.net,731-431-0712,Jackson,TN,38305,29,971,2026
16062336,Gina Conley,ginaerate@gmail.com,510-566-8446,San Jose,CA,95127,4,75,2026
16062339,"Education Innovations, LLC",sdowdy@verizon.net,214-455-6295,Wylie,TX,75098,25,232,2026
16062343,Lanier Consulting and Technology  Services,rlanier@stx.rr.com,956-645-7195,Laredo,TX,78045,8,92,2026
16062344,Educational Service District No. 123,techies@esd123.org,509-547-8441,Pasco,WA,99301,25,59,2026
16062345,Willamette ESD,,503-385-4856,Salem,OR,97302,47,709,2026
16062349,Patricia D. McCaffrey,patricia_mccaffrey@cfl.rr.com,407-339-3637,Altamonte Springs,FL,32701,1,2,2017
16062353,RDV Consulting Services,rick.delvalle@yahoo.com,510-457-5436,Hallandale Beach,FL,33009,20,240,2026
16062354,Anthony Terceira,tony.terceira@gmail.com,401-935-4068,Scituate,RI,02857,22,556,2026
16062356,Technology Prescriptive Inc,mcpearson@cox.net,817-522-2751,Fort Worth,TX,76112,1,6,2017
16062367,Crystal Works,crystalworks@crystalworksgets.com,704-430-7591,Charlotte,NC,28277,28,114,2026
16062372,EDUCATIONAL SERVICE UNIT 10,erate@esu10.org,308-237-5927,KEARNEY,NE,68848,49,3309,2026
16062375,Carol Sonon,cson222@aol.com,610-776-7743,Allentown,PA,18103,9,59,2020
16062392,"MATLOCK SERVICES, LLC",matlockwm@windstream.net,404-697-6598,CLARKSVILLE,GA,30523,2,148,2025
16062394,PEGGY YORK,peggy@centex.net,325-938-9868,GOLDTHWAITE,TX,76844,20,289,2025
16062405,Lincoln Intermediate Unit 12 - Erate Consulting Services,erate@iu12.org,717-624-6511,New Oxford,PA,17350,33,562,2026
16062408,"E-RATE AND EDUCATIONAL SERVICES, LLC.",shirley.bauer.edd@gmail.com,605-348-3302,RAPID CITY,SD,57702,99,1004,2026
16062414,Mesa Internetworking eDesign and Project Mnagement Services LLC,pjosenhans@comcast.net,708-539-3223,Peoria,AZ,85383,2,40,2026
16062431,Claborn Services LLC,kathe@clabornservices.com,580-695-6928,Apache,OK,73006,32,657,2026
16062433,Michael Anderson,anderson@smbsd.net,385-439-7450,Syracuse,UT,84075,17,349,2026
16062434,SHERYL S. MYERS,myers.sheryl@gmail.com,603-801-5437,NASHUA,NH,03062,1,32,2025
16062435,SWWC Service Cooperative E-Rate Consulting,josh.sumption.erate@swwc.org,507-537-2240,Marshall,MN,56258,60,209,2026
16062438,Anita Hudgins,ahudgins@ocic.k12.ok.us,918-885-2667,Hominy,OK,74035,6,88,2025
16062448,RICK GILDEZ - NetMedic,rick@netmedicllc.com,661-301-2512,BAKERSFIELD,CA,93306,6,13,2026
16062454,"INFINITE CONNECTIONS, INC.",jkratochvil@infiniteconnect.net,773-412-9072,CHICAGO,IL,60622,83,2078,2026
16062455,JR FUNDING SUPPORT SERVICES,jrien1016@aol.com,330-701-7696,Myrtle Beach,SC,29588,30,814,2026
16062456,MILLENNIUM CONSULTING SERVICE,apearson@mconsult.us,662-315-8608,Meridian,MS,39305,16,138,2026
16062496,Judy Bright,erategal@gmail.com,906-864-2712,Wallace,MI,49893,6,70,2019
16062519,South Central Kansas Education Service Center,tbohannon@sckesc.org,620-584-3300,Clearwater,KS,67026,40,1489,2026
16062522,COLLECT-ED LLC,collect-ed@hotmail.com,405-830-2200,Mustang,OK,73064,68,1807,2026
16062554,Erate Compliance,info@eratecompliance.com,917-374-6505,Plainview,NY,11803,42,971,2025
16062577,ELLEN YATES,,972-816-7484,Carrollton,TX,75007,1,4,2016
16062583,Intermediate Unit One,kristin.vanstrien@iu1.org,724-938-3241,Coal Center,PA,15423,40,955,2026
16062586,"Van Strien Consulting, LLC",kristin@vanstrien.net,724-986-3260,Rostraver Township,PA,15012,47,662,2026
16062588,"Roger Powell Consulting, LLC",roger@powellconsult.com,951-323-8829,Carlsbad,CA,92011,4,84,2025
16062590,Southwest Plains Regional Service Center,traci.taylor@swplains.org,620-675-8804,Sublette,KS,67877,45,523,2026
16062593,CESA 9,mdailey@cesa9.org,715-453-2141,TOMAHAWK,WI,54487,39,1032,2026
16062614,CAROL HOLZBERG,cholzberg@gmail.com,413-772-1322,SHUTESBURY,MA,01072,1,14,2019
16062621,AARRESTAD-GJERVIK CONSULTING,rich@aagjconsulting.com,707-228-9357,SANTA ROSA,CA,95409,89,1348,2026
16062632,Chambers Advisory Group,erate@chambersadvisory.com,800-228-1062,Florence,MA,01062,23,269,2026
16062642,E. F. Holtz Company,ellen_holtz@hotmail.com,610-867-0399,Bethlehem,PA,18017,15,207,2025
16062643,C. Christopher Parke Consulting,CCParke@live.com,985-634-1568,Hammond,LA,70403,1,18,2022
16062644,Cooperative Educational Service Agency 12,,715-682-2363,Ashland,WI,54806,16,624,2026
16062645,Fazil Bhimani,fazilb@aol.com,612-578-2707,Northfield,IL,60093,133,774,2026
16062646,schooley mitchell,greg@hwc-consultants.com,415-692-0708,San Francisco,CA,94117,64,513,2026
16062647,E-Rate Support Services,david@eratesupportservices.com,206-856-7349,Spokane,WA,99220,42,296,2026
16062654,MICHAEL FOSTER,drmikefoster@gmail.com,609-231-9400,OCEAN CITY,NJ,08226,2,40,2026
16062657,"ARROWHEAD REGIONAL COMPUTING CONSORTIUM, RMIC REGION II",cindylee@arcc.org,218-723-1700,HERMANTOWN,MN,55811,36,272,2026
16062691,BLaST Intermediate Unit 17,smcnettconsult@iu17.org,570-673-6001,Williamsport,PA,17701,10,148,2026
16062692,ESSDACK,briandater@essdack.org,620-663-9566,Hutchinson,KS,67501,49,873,2026
16062696,REGION III EDUCATION SERVICE CENTER- BUSINESS ADMINISTRATION,tpompa@esc3.net,361-573-0731,VICTORIA,TX,77904,31,6,2026
16062713,"EDTECH STRATEGIES, LLC",ajohnson@edtechstrategies.net,202-352-5364,Alexandria,VA,22304,25,8,2026
16062722,John Allen McDaniel,jmcdaniel9@tx.rr.com,972-948-6853,Silver Spring,MD,20906,4,82,2025
16062760,Dutchess BOCES,julann.troiano@dcboces.org,845-486-4800,Poughkeepsie,NY,12601,44,826,2026
16062788,Resource Renewal Project,baltman@colemangroupconsulitng.com,312-850-4134,CHICAGO,IL,60606,38,2411,2026
16062803,"Nonprofit Financial Group, Inc.",rschoy@non-profitfinancial.com,412-818-8113,North Huntingdon,PA,15642,4,59,2025
16062805,RC Hawaii Ltd.,rchawaii@mindspring.com,585-385-1474,Pittsford,NY,14534,3,59,2025
16062823,ROSEMARY WHITTEN,rwhitten@eastex.net,903-863-2108,LANEVILLE,TX,75667,1,34,2025
16062829,SKOGEN EDUCATIONAL SERVICES CONSULTANT,David.Skogen@ndsu.edu,218-330-3116,Brainerd,MN,56401,5,108,2025
16062831,BART A SKIDMORE CPA INC.,skidmoreba@gmail.com,303-365-1696,DENVER,CO,80210,14,236,2025
16062835,"NJ Association of Mental Health and Addiction Agencies, Inc.",jnoto@njamhaa.org,609-838-5488,Mercerville,NJ,08619,5,38,2017
16062851,Jim Ross,jrosscpa01@gmail.com,757-287-3459,Virginia Beach,VA,23454,5,55,2021
16062882,QuinteSystems_Inc.,dennis@QuinteSystems.com,262-645-5400,Punta Gorda,FL,33950,25,534,2026
16062911,Bruce Cerra CPA,sbjccerra@yahoo.com,862-377-8499,West Orange,NJ,07052,2,76,2025
16062923,Federal Funds Assistant,fedfundsassistant@yahoo.com,563-503-9564,Camanche,IA,52730,62,1249,2026
16062944,Garber Consulting Group LLC,melissa@garbercg.com,518-588-5575,Latham,NY,12110,140,999,2026
16062967,AJD Consulting Services,4jdare@gmail.com,618-927-4408,Benton,IL,62812,247,5089,2026
16062980,Marlin Gutzmer,Marlin.gutzmer@sequelyouthservices.com,712-542-7058,Clarinda,IA,51632,1,6,2017
16062984,Janie Livas,jlivas9@gmail.com,956-330-5089,Edinburg,TX,78542,1,35,2026
16062991,Southeast Regional Resource Center (SERRC),erate@serrc.org,907-349-0651,ANCHORAGE,AK,99501,27,21,2026
16062994,"JAMES S. FOGARTY, PH.D CONSULTING LLC",jsfogarty@comcast.net,570-345-3645,SCHUYLKILL HAVEN,PA,17972,1,27,2020
16063049,John G. Mitchell Consulting,jgmconsultingjm@gmail.com,206-252-0426,Seattle,WA,98121,2,412,2025
16063093,Midwestern Intermediate Unit IV,maryann.holfelder@miu4.org,724-458-6700,Grove City,PA,16127,13,232,2026
16063094,"Krishan Consultancy Services, LLC",m_krishnamachari@yahoo.com,480-775-7256,Tempe,AZ,85283,5,158,2026
16063099,South Coast ESD Region 7 - Consulting,brandiem@scesd.k12.or.us,541-266-4046,Coos Bay,OR,97420,7,113,2026
16063157,INTERNATIONAL CONSULTING GROUP,icgroup2011@gmail.com,248-890-3074,WEST BLOOMFIELD,MI,48322,1,40,2025
16063166,EDUCATIONAL SERVICE UNIT NO. 13,erate@esu13.org,308-635-3696,SCOTTSBLUFF,NE,69361,22,1,2026
16063170,KAREN MOODY,kmoody@bham.lib.al.us,205-919-6878,Remlap,AL,35133,26,77,2020
16063206,TIM HANNON,thannon@archkckcs.org,913-262-1148,SHAWNEE MISSION,KS,66202,11,180,2026
16063207,ConnectED Consulting Services LLC,ewilliams@getconnect-ed.com,312-733-7995,Chicago,IL,60607,12,264,2026
16063266,Telcom Solutions Inc.,david@telcomsol.net,505-238-2900,Albuquerque,NM,87111,1,12,2020
16063494,Educational Technology & Networking Consultant,rsachlis@covington.k12.va.us,540-241-2553,Waynesboro,VA,22980,1,26,2021
16063521,"Wynndalco Enterprises, LLC",erate@wynndalco.com,312-256-9090,Chicago,IL,60611,1,6,2016
16063584,"Pathway Solutions, LLC",jduncan@pathwaysolns.com,713-416-3352,League City,TX,77573,3,48,2022
16063586,Brent Edwards,erateshop@gmail.com,208-404-1270,Shoshone,ID,83352,57,995,2026
16063639,Avant Services,bavant99@gmail.com,512-517-3314,Austin,TX,78737,4,124,2025
16063640,"Quinn e-Solutions, LLC",jbeem@quinnesolutions.com,877-748-3447,Bel Air,MD,21014,67,372,2026
16063743,OReilly-Consulting,dan@oreilly-consulting.com,218-831-3197,Brainerd,MN,56401,1,6,2018
16063748,Stan Wykosky,stanwykosky@rcn.com,610-954-9985,Bethlehem,PA,18015,149,2505,2026
16063809,Terence Pringle,terence@pringleconsulting.org,623-322-1905,Peoria,AZ,85345,7,16,2025
16063863,Paul Le,erate@charterschoolincubator.org,347-772-8553,Benicia,CA,94510,15,110,2025
16063924,"BAZ Group, Inc.",svandyke@thebazgroup.com,419-531-7727,Toledo,OH,43615,3,120,2026
16063950,CMERDC,,320-202-0992,St. Cloud,MN,56304,2,32,2025
16065090,Tuscarora Intermediate Unit 11,dpconsultant@tiu11.org,814-542-2501,McVeytown,PA,17051,11,184,2025
16065303,Executive ERate Consulting,granrega@digis.net,435-512-1306,Hyde Park,UT,84318,2,34,2025
16065304,ATG,erate@adtechgroup.com,530-632-7384,Yuba City,CA,95993,62,2064,2026
16065626,Wayne Hay,wayne.hay@gmail.com,845-240-8165,Poughkeepsie,NY,,1,14,2019
16065638,Montgomery County Intermediate Unit,jkrail@mciu.org,610-755-9400,Norristown,PA,19401,18,444,2026
16065775,Edit Tech Support,matt@meetedit.com,212-786-7930,Plainview,NY,11803,16,151,2025
16065884,E-Rate First,jpillo@eratefirst.com,203-306-1722,Milford,CT,06460,119,2887,2025
16065998,Berks County Intermediate Unit,consulting@berksiu.org,610-987-8482,Reading,PA,19605,16,185,2026
16066212,THERESA MARIA M. TUAZON BRYANT,theresabryant_educator@yahoo.com,718-544-2021,East Elmhurst,NY,11369,2,63,2025
16066397,GOLD CONSULTING TEAM,info@goldconsultingteam.com,845-694-4941,MONSEY,NY,10952,290,1423,2025
16066399,GARY CUMMINS,gcummins@cableone.net,928-848-6217,BAGDAD,AZ,86321,2,5,2017
16066469,"PROJECT CONSULTING ADJUNCT STAFF 4 EDUCATION, INC.",bonnie@pcas4e.com,661-586-1090,DELANO,CA,93216,6,392,2025
16066478,Phillip D Seager,phillipseager46@gmail.com,435-749-4771,Fairview,UT,84629,4,19,2026
16066485,Wendy Willeford,wwerate@yahoo.com,281-450-5078,Houston,TX,77057,2,47,2020
16066993,"Let Me Help You With That, LLC",kiely@mchsi.com,319-430-8358,Coralville,IA,52241,41,837,2026
16067242,Julie Milner,milnerjulie@yahoo.com,816-914-3703,Jersey City,NJ,07310,2,44,2024
16067251,ERATE911,erate@erate911.com,419-631-1618,Lexington,OH,44904,6,222,2026
16067255,Gray Prewitt,gpconsulting@gmx.com,877-503-1975,Long Beach,CA,90815,5,168,2025
16067374,GV/WFL Educational Technology Service,Ethan.hamlin@edutech.org,315-332-7401,Newark,NY,14513,59,97,2026
