spin,company_name,status,phone,mailing_address,mailing_city,mailing_state,mailing_zip,physical_address,physical_city,physical_state,physical_zip,last_updated
143000031,"American Comm. Services of Columbia, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:15:00.000
143000032,"American Comm. Services of Amarillo, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:15:00.000
143000033,MCI Inc.,Closed,312-470-5056,22001 Loudon County Parkway,Ashburn,VA,21047,22001 Loudon County Parkway,Ashburn,VA,21047,2024-06-27T21:15:00.000
143000034,MCI Inc.,Closed,312-470-5056,22001 Loudon County Parkway,Ashburn,VA,21047,22001 Loudon County Parkway,Ashburn,VA,21047,2024-06-27T21:15:00.000
143000038,"Media One of Colorado, Inc..",Closed,303-858-3116,188 Inverness Drive West,Englewood,CO,80112,188 Inverness Drive West,Englewood,CO,80112,2024-06-27T21:16:00.000
143000041,"Commonwealth Communication, LLC dba Commonwealth Communicati",Active,570-208-5063,39 Public Square,Wilkes Barre,PA,18773,39 Public Square,Wilkes Barre,PA,18773,2024-06-27T21:16:00.000
143000043,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Parkway,Ashburn,VA,20147,22001 Loudon County Parkway,Ashburn,VA,20147,2024-06-27T21:16:00.000
143000044,"American Metrocomm/New Orleans, Inc.",Closed,504-200-2000,1615 Poydras Street,New Orleans,LA,70112,1615 Poydras Street,New Orleans,LA,70112,2024-06-27T21:16:00.000
143000049,"Vycera Communications, Inc.",Active,858-792-2400,12750 High Bluff,San Diego,CA,92130,12750 High Bluff,San Diego,CA,92130,2024-06-27T21:16:00.000
143000050,"GST Telecom Utah, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:16:00.000
143000051,"American Comm. Services of Birmingham, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:16:00.000
143000053,"American Comm. Services of Charleston, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:17:00.000
143000054,"American Comm. Services of Greenville, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:17:00.000
143000055,"American Comm. Services of Columbus, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:17:00.000
143000058,Fibrcom Incorporated,Closed,303-566-1557,5700 S. Quebec Street,Greenwood Village,CO,80111,5700 S. Quebec Street,Greenwood Village,CO,80111,2024-06-27T21:17:00.000
143000059,"tw Telecom of California, l.p.",Closed,303-566-1261,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:17:00.000
143000060,tw telecom of florida l.p,Closed,303-566-1261,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:17:00.000
143000061,tw telecom of indiana l.p.,Closed,303-566-1261,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:17:00.000
143000062,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Parkway,Ashburn,VA,20147,22001 Loudon County Parkway,Ashburn,VA,20147,2024-06-27T21:17:00.000
143000064,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Parkway,Ashburn,VA,20147,22001 Loudon County Parkway,Ashburn,VA,20147,2024-06-27T21:17:00.000
143000065,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Parkway,Ashburn,VA,20147,22001 Loudon County Parkway,Ashburn,VA,20147,2024-06-27T21:17:00.000
143000066,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon Parkway,Ashburn,VA,20147,22001 Loudon Parkway,Ashburn,VA,20147,2024-06-27T21:17:00.000
143000067,"Teleport Communications America, LLC",Active,312-364-6346,1 AT&T Way,Bedminster,NJ,07921,1 AT&T Way,Bedminster,NJ,07921,2017-01-28T09:39:00.000
143000069,R&B Network Inc,Active,540-946-3547,1154 Shenandoah Village Drive,Waynesboro,VA,22980,1154 Shenandoah Village Drive,Waynesboro,VA,22980,2024-06-27T21:17:00.000
143000070,"Pac-West Telecomm., Inc.",Closed,209-926-4359,1776 West March Lane,Stockton,CA,95207,1776 West March Lane,Stockton,CA,95207,2024-06-27T21:17:00.000
143000071,"ICG Telecom Group, Inc.",Closed,512-742-6443,1025 Eldorado Blvd.,Broomfield,CO,80021,1025 Eldorado Blvd.,Broomfield,CO,80021,2024-06-27T21:17:00.000
143000072,Cablevision Lightpath LLC,Active,603-661-1603,1111 Stewart Avenue,Bethpage,NY,11714,1111 Stewart Avenue,Bethpage,NY,11714,2025-06-03T08:00:00.000
143000076,"American Comm. Services of Mobile, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:18:00.000
143000077,"American Comm. Services of Louisville, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:18:00.000
143000078,"American Comm. Services of Albuquerque, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:18:00.000
143000079,tw Telecom of tennessee llc,Closed,303-566-1261,10475 Park Medows Drive,Littleton,CO,80124,10475 Park Medows Drive,Littleton,CO,80124,2024-06-27T21:18:00.000
143000080,"MetroComm AxS, L.P. - Ohio",Closed,303-566-1557,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:18:00.000
143000083,Telecove of Eastern Pennsylvania,Closed,814-260-2413,712 North Main Street,Coudersport,PA,16915,712 North Main Street,Coudersport,PA,16915,2024-06-27T21:18:00.000
143000084,"Adelphia Business Solutions of Harrisburg, Inc fka Hyperion",Closed,814-260-2417,712 North Main Street,Coudersport,PA,16915,712 North Main Street,Coudersport,PA,16915,2024-06-27T21:18:00.000
143000085,Adelphia Business Solutions of Florida,Closed,814-260-2417,712 North Main Street,Coudersport,PA,16915,712 North Main Street,Coudersport,PA,16915,2024-06-27T21:18:00.000
143000086,"TelCove of Vermont, Inc.",Closed,814-260-2413,712 North Main Street,Coudersport,PA,16915,712 North Main Street,Coudersport,PA,16915,2024-06-27T21:18:00.000
143000087,"TelCove Of Pennsylvania, LLC.",Closed,512-742-6443,1122 Capital of TX Highway South,Austin,TX,78746,1122 Capital of TX Highway South,Austin,TX,78746,2024-06-27T21:18:00.000
143000088,"American Comm. Services of El Paso, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:18:00.000
143000089,"tw Telecom of Ohio, llc",Closed,303-566-1261,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:18:00.000
143000091,"Cox Louisiana Telcom II, LLC",Closed,404-843-5788,1400 Lake Hearn Drive,Atlanta,GA,30319,1400 Lake Hearn Drive,Atlanta,GA,30319,2024-06-27T21:18:00.000
143000092,AT&T dba ACC National Telecom Corp.,Closed,908-235-5440,1 AT&T Way,Bedminster,NJ,07921,1 AT&T Way,Bedminster,NJ,07921,2024-06-27T21:18:00.000
143000093,"XO Communications Services, LLC",Active,412-258-8606,One Verizon Way,Basking Ridge,NJ,07920,One Verizon Way,Basking Ridge,NJ,07920,2023-08-03T10:47:00.000
143000096,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Parkway,Ashburn,VA,21047,22001 Loudon County Parkway,Ashburn,VA,21047,2024-06-27T21:18:00.000
143000097,Wavecom Solutions Corporation,Active,808-546-7868,1177 Bishop St,Honolulu,HI,96813,1177 Bishop St,Honolulu,HI,96813,2025-12-21T08:00:00.000
143000098,"GST Telecom Oregon, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:18:00.000
143000099,"GST Tuscon Lightwave, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98663,9300 NE Oak View Drive,Vancouver,WA,98663,2024-06-27T21:19:00.000
143000100,"GST Net (AZ), Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:19:00.000
143000101,"GST Telecom New Mexico, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:19:00.000
143000102,"GST Telecom Texas, Inc.",Closed,360-892-6660,9300 NW Oak View Drive,Vancouver,WA,98662,9300 NW Oak View Drive,Vancouver,WA,98662,2024-06-27T21:19:00.000
143000103,"GST Telecom Nevada, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:19:00.000
143000104,"GST Telecom Idaho, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:19:00.000
143000106,"GST Telecom Washington, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:19:00.000
143000107,"GST Telecom Colorado, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:19:00.000
143000108,"GST Pacific Lightwave, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:19:00.000
143000109,"GST Telecom Micronesia, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:19:00.000
143000110,"GST Telecom California, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:19:00.000
143000115,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Parkway,Ashburn,VA,21047,22001 Loudon County Parkway,Ashburn,VA,21047,2024-06-27T21:19:00.000
143000116,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Parkway,Ashburn,VA,21047,22001 Loudon County Parkway,Ashburn,VA,21047,2024-06-27T21:19:00.000
143000117,MCI Inc.,Closed,312-470-5056,22001 Loudon County Parkway,Ashburn,VA,21047,22001 Loudon County Parkway,Ashburn,VA,21047,2024-06-27T21:19:00.000
143000118,"Brooks Fiber Comm. of Missouri, Inc.",Closed,312-470-5056,515 East Amite Street,Jackson,MS,39201,515 East Amite Street,Jackson,MS,39201,2024-06-27T21:19:00.000
143000119,"American Comm. Services of Montgomery, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:19:00.000
143000120,"American Comm. Services of Jackson, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:19:00.000
143000121,"American Comm. Services of Pima County, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:19:00.000
143000122,"American Comm. Services of Las Vegas, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:19:00.000
143000123,"American Comm. Services of Lexington, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:19:00.000
143000124,"American Comm. Services of Maryland, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:20:00.000
143000125,tw telecom of wisconsin l.p.,Closed,303-566-1261,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:20:00.000
143000126,Time Warner Telecom Inc.,Active,303-566-1585,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:20:00.000
143000127,Louisville Lightwave,Closed,502-568-2542,210 Kentucky Towers,Louisville,KY,40202,210 Kentucky Towers,Louisville,KY,40202,2024-06-27T21:20:00.000
143000128,"TelCove of Virginia, LLC",Closed,512-742-6443,1122 Capital of TX Highway South,Austin,TX,78746,1122 Capital of TX Highway South,Austin,TX,78746,2024-06-27T21:20:00.000
143000130,"MH Lightnet, Inc.",Closed,908-851-8931,800 Rahway Ave.,Union,NJ,07083,800 Rahway Ave.,Union,NJ,07083,2024-06-27T21:20:00.000
143000131,Electric Lightwave LLC,Active,707-595-6569,18110 SE 34th Street,Vancouver,WA,98683,18110 SE 34th Street,Vancouver,WA,98683,2023-07-24T15:11:00.000
143000132,Qwest Communications Corporation,Closed,800-510-2148,1801 California Street,Denver,CO,80202,1801 California Street,Denver,CO,80202,2024-06-27T21:20:00.000
143000133,MCI Inc.,Closed,312-470-5056,22001 Loundon County Parkway,Ashburn,VA,21047,22001 Loundon County Parkway,Ashburn,VA,21047,2024-06-27T21:20:00.000
143000137,Washington RSA No. 8 Limited Partnership,Closed,509-649-2500,103 S. 2nd Street,Roslyn,WA,98941,103 S. 2nd Street,Roslyn,WA,98941,2024-06-27T21:20:00.000
143000138,Arctic Slope Telecommunications and Cellular,Closed,907-564-2680,4300 B Street Suite 501,Anchorage,AK,99503,4300 B Street Suite 501,Anchorage,AK,99503,2024-06-27T21:20:00.000
143000140,Eastern Sub-RSA Limited Partnership,Closed,509-649-2500,103 South 2nd Street,Roslyn,WA,98941,103 South 2nd Street,Roslyn,WA,98941,2024-06-27T21:20:00.000
143000141,"Santa Cruz Cellular Telephone, Inc.",Closed,405-529-8500,14201 Wireless Way,Oklahoma City,OK,73134,14201 Wireless Way,Oklahoma City,OK,73134,2024-06-27T21:20:00.000
143000142,"ACS Wireless, Inc.",Active,907-564-7523,600 Telephone Avenue,Anchorage,AK,99503,600 Telephone Avenue,Anchorage,AK,99503,2024-06-27T21:05:00.000
143000143,"Radiofone, Inc.",Closed,504-830-1529,P.O. Box 8887,Metairie,LA,70011,P.O. Box 8887,Metairie,LA,70011,2024-06-27T21:20:00.000
143000145,McLang Cellular dba AT&T Wireless Services,Closed,425-580-8136,P.O. Box 97061,Redmond,WA,98073,P.O. Box 97061,Redmond,WA,98073,2024-06-27T21:20:00.000
143000146,Wheeling Cellular Tel. Co. dba AT&T Wireless Services,Closed,425-580-8136,P.O. Box 97061,Redmond,WA,98073,P.O. Box 97061,Redmond,WA,98073,2024-06-27T21:21:00.000
143000147,Pittsburgh Cellular Tel. Co. dba AT&T Wireless Services,Closed,425-580-8136,P.O. Box 97061,Redmond,WA,98073,P.O. Box 97061,Redmond,WA,98073,2024-06-27T21:21:00.000
143000150,Caprock Cellular Limited Partnership,Closed,null-null,121 East Third Street,Spur,TX,79370,121 East Third Street,Spur,TX,79370,2024-06-27T21:21:00.000
143000153,Brown County MSA Cellular Ltd. Partnership,Closed,920-617-7423,450 Security Blvd,Green Bay,WI,54313,450 Security Blvd,Green Bay,WI,54313,2024-06-27T21:21:00.000
143000154,Wisconsin RSA 10 Limited Partnership,Closed,920-617-7423,450 Security Blvd,Green Bay,WI,54313,450 Security Blvd,Green Bay,WI,54313,2024-06-27T21:21:00.000
143000162,Texarkana Cellular Partnership dba AT&T Wireless Services,Closed,425-580-8136,P.O. Box 97061,Redmond,WA,98073,P.O. Box 97061,Redmond,WA,98073,2024-06-27T21:21:00.000
143000163,"Longview Cellular, Inc. dba AT&T Wireless Services",Closed,425-580-8136,P.O. Box 97061,Redmond,WA,98073,P.O. Box 97061,Redmond,WA,98073,2024-06-27T21:21:00.000
143000164,"AT&T Wireless Services of Austin, Inc.",Closed,425-580-8826,7277 164th Avenue NE,Redmond,WA,98052,7277 164th Avenue NE,Redmond,WA,98052,2024-06-27T21:21:00.000
143000165,"AT&T Wireless Services of San Antonio, Inc.",Closed,425-580-8136,P.O. Box 97061,Redmond,WA,98073,P.O. Box 97061,Redmond,WA,98073,2024-06-27T21:21:00.000
143000166,Sherman-Denison Cellular Telephone Co.,Closed,425-580-8826,7277 164th Avenue NE,Redmond,WA,98052,7277 164th Avenue NE,Redmond,WA,98052,2024-06-27T21:21:00.000
143000167,McCaw Communications of Killeen-Temple,Closed,425-580-8826,7277 164th Avenue NE,Redmond,WA,98052,7277 164th Avenue NE,Redmond,WA,98052,2024-06-27T21:21:00.000
143000168,"BCS Cellular Telephone Company, Inc.",Closed,425-580-8826,7277 164th Avenue NE,Redmond,WA,98052,7277 164th Avenue NE,Redmond,WA,98052,2024-06-27T21:22:00.000
143000169,Verizon Wireless of Kansas,Closed,908-306-7555,10740 Nall Avenue,Overland Park,KS,66211,10740 Nall Avenue,Overland Park,KS,66211,2024-06-27T21:22:00.000
143000171,St. Joseph CellTelCo,Closed,908-306-7555,10740 Nall Avenue,Overland Park,KS,66211,10740 Nall Avenue,Overland Park,KS,66211,2024-06-27T21:22:00.000
143000172,Topeka Cellular Telephone Co. dba Verizon Wireless,Closed,908-306-7555,10740 Nall Avenue,Overland Park,KS,66211,10740 Nall Avenue,Overland Park,KS,66211,2024-06-27T21:22:00.000
143000173,"Triton Cellular Partners of Lincoln, LLC",Closed,541-928-2900,PO Box 2000,Alexandria,MN,56308,PO Box 2000,Alexandria,MN,56308,2024-06-27T21:22:00.000
143000174,"Liberty Cellular, Inc. dba ALLTEL",Closed,402-436-4466,One Allied Drive,Little Rock,AR,72202,One Allied Drive,Little Rock,AR,72202,2024-06-27T21:22:00.000
143000175,Peoples Wireless,Active,903-878-3172,102 N. Stephens St.,Quitman,TX,75783,102 N. Stephens St.,Quitman,TX,75783,2020-09-02T14:54:00.000
143000177,"Air Touch Communications, Inc dba Verizon Wireless",Closed,415-658-5169,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:22:00.000
143000178,"Coconino, Arizona RSA Ltd Partnership dba Verizon Wireless",Closed,908-306-7555,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:22:00.000
143000179,Wasatch Utah RSA No. 2 LP dba Verizon Wireless,Closed,908-306-7555,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:22:00.000
143000180,"Yuma, Arizona RSA Limited Partnership dba Verizon Wireless",Closed,908-306-7555,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:22:00.000
143000181,Grays Harbor-Mason Cellular LP dba Verizon Wireless,Closed,908-306-7555,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:22:00.000
143000182,"Pacific Telecom Cellular of Alaska, Inc. (AK1)",Closed,318-362-1289,100 Century Park Drive,Monroe,LA,71203,100 Century Park Drive,Monroe,LA,71203,2024-06-27T21:22:00.000
143000184,Omaha Cellular Ltd. Partnership,Closed,402-436-4466,500 South 16th St.,Lincoln,NE,68508,500 South 16th St.,Lincoln,NE,68508,2024-06-27T21:22:00.000
143000185,Gila River Cellular General Partnership,Closed,405-529-8500,14201 Wireless Way,Oklahoma City,OK,73134,14201 Wireless Way,Oklahoma City,OK,73134,2024-06-27T21:22:00.000
143000186,Colorado RSA No. 3 Limited Partnership dba Verizon Wireless,Closed,908-306-7555,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:22:00.000
143000187,Des Moines MSA General Partnership dba Verizon Wireless,Closed,908-306-7555,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:22:00.000
143000188,Duluth MSA Limited Partnership dba Verizon Wireless,Closed,908-306-7555,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:22:00.000
143000189,Idaho RSA No. 1 Limited Partnership dba Verizon Wireless,Closed,908-306-7555,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:22:00.000
143000190,Idaho RSA No. 2 Limited Partnership dba Verizon Wireless,Closed,908-306-7555,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:22:00.000
143000191,Idaho RSA 3 Limited Partnership dba Verizon Wireless,Closed,908-306-7555,One California Street,San Francisco,CA,94111,One California Street,San Francisco,CA,94111,2024-06-27T21:23:00.000
143000192,Verizon Wireless,Closed,908-306-7555,180 Washington Valley Road,Bedminster,NJ,07921,180 Washington Valley Road,Bedminster,NJ,07921,2024-06-27T21:23:00.000
143000194,Honolulu Cellular Telephone Co.,Closed,425-580-8826,P.O. Box 97061,Redmond,WA,98073,P.O. Box 97061,Redmond,WA,98073,2024-06-27T21:23:00.000
143000197,Cellular Alaska Partnership dba AT&T Wireless Services,Closed,425-580-8136,P.O. Box 97061,Redmond,WA,98073,P.O. Box 97061,Redmond,WA,98073,2024-06-27T21:23:00.000
143000199,"Uintah Basin Electronics Telecommunications, LLC",Active,435-622-5247,211 E 200 N,Roosevelt,UT,84066,211 E 200 N,Roosevelt,UT,84066,2025-06-19T08:00:00.000
143000201,"Alltel Mobile Communications Of Alabama, Inc.",Closed,402-436-4466,One Allied Dr.,Little Rock,AR,72202,One Allied Dr.,Little Rock,AR,72202,2024-06-27T21:23:00.000
143000202,"Alltel Mobile Communications Of Arkansas, Inc.",Closed,402-436-4466,One Allied Dr.,Little Rock,AR,72202,One Allied Dr.,Little Rock,AR,72202,2024-06-27T21:23:00.000
143000203,"Alltel Mobile Communications Of Florida, Inc.",Closed,402-436-4466,One Allied Dr.,Little Rock,AR,72202,One Allied Dr.,Little Rock,AR,72202,2024-06-27T21:23:00.000
143000204,"Alltel Mobile Communications Of Georgia, Inc.",Closed,402-436-4466,One Allied Dr.,Little Rock,AR,72202,One Allied Dr.,Little Rock,AR,72202,2024-06-27T21:23:00.000
143000205,"Alltel Mobile Communications Of The Carolinas, Inc.",Closed,402-436-4466,One Allied Dr.,Little Rock,AR,72202,One Allied Dr.,Little Rock,AR,72202,2024-06-27T21:23:00.000
